index,filename,acquisition_time,x_offset,y_offset,rotation,px_width,micron_width
1,qi-fit-2022.03.22-15.15.20.837,15.15.20,2.835,-6.412,0,64,6
2,qi-fit-2022.03.22-15.19.34.648,15.19.34,3.61,-5.58,0,128,10
3,qi-fit-2022.03.22-15.29.07.658,15.29.07,3.095,-3.587,0,64,5
4,qi-fit-2022.03.22-15.37.42.210,15.37.42,6.66,-2.68,0,128,10
5,qi-fit-2022.03.22-15.47.32.381,15.47.32,8.81,-8.97,0,64,12
6,qi-fit-2022.03.22-15.50.57.904,15.50.57,-5.89,-8.3,0,128,20
7,qi-fit-2022.03.22-16.01.49.836,16.01.49,-15.88,-8.49,0,64,20
8,qi-fit-2022.03.22-16.04.36.821,16.04.36,-7.74,2.15,0,64,20
9,qi-fit-2022.03.22-16.08.30.654,16.08.30,-9.83,-19.83,0,64,20
10,qi-fit-2022.03.22-16.12.07.409,16.12.07,6.26,-20.28,180,64,15
11,qi-fit-2022.03.22-16.16.14.138,16.16.14,-25.11,-23.04,-180,64,15
12,qi-fit-2022.03.22-16.21.33.706,16.21.33,-25.57,-9.37,90,64,15
13,qi-fit-2022.03.22-16.24.23.636,16.24.23,-23.5,4.85,90,64,15
14,qi-fit-2022.03.22-16.27.56.739,16.27.56,4.64,8.76,0,64,15
15,qi-fit-2022.03.22-16.30.51.245,16.30.51,4.64,8.76,0,64,15
16,qi-fit-2022.03.22-16.41.07.286,16.41.07,-6.88,16.88,0,64,15
17,qi-fit-2022.03.22-16.44.09.941,16.44.09,-18.74,14.98,0,64,10
18,qi-fit-2022.03.22-16.49.21.493,16.49.21,-8.44,-29.3,-180,64,15
